%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
73705.067,297.205,0.864,14.866,95.463,94.787,-10.379,-6.131,-4.811,-3.654,-2.591,-6.851,-7.262,-7.922,-5.917,-2.084,0.211,-7.329,-0.105,-2.09,-4.768,-6.531,0,-10.543,25.114,-1.191,-89.974,-40.006
73709.099,297.207,0.864,14.859,95.384,94.787,-9.838,-6.688,-4.17,-3.654,-2.267,-7.577,-8.116,-7.601,-6.029,-3.022,0.106,-7.86,-0.314,-1.463,-3.732,-6.643,0,-10.505,25.155,-1.193,-89.974,-39.984
73697.005,297.205,0.864,14.861,95.384,94.787,-9.946,-5.908,-5.667,-3.758,-2.591,-7.577,-7.475,-7.28,-4.578,-3.022,-0.844,-7.754,-0.523,-2.09,-4.768,-6.868,0,-10.543,25.175,-1.194,-89.974,-40.006
73697.005,297.208,0.864,14.861,95.384,94.787,-10.271,-5.796,-4.277,-4.698,-2.051,-7.266,-8.223,-7.922,-5.024,-2.501,-0.211,-7.541,0.209,-2.09,-4.561,-6.531,0,-10.467,25.206,-1.195,-89.974,-40.006
73701.036,297.208,0.864,14.854,95.305,94.787,-9.946,-6.242,-4.063,-3.758,-1.943,-6.954,-7.475,-8.243,-5.024,-2.501,-0.527,-7.435,0.105,-1.881,-4.146,-6.418,0,-10.428,25.236,-1.197,-89.958,-40.006
73697.005,297.205,0.864,14.873,95.542,94.787,-9.298,-6.577,-5.132,-4.176,-2.807,-7.37,-7.796,-7.601,-5.694,-2.71,0,-8.816,0.628,-1.985,-4.25,-7.206,0,-10.39,25.236,-1.199,-89.974,-40.006
73705.067,297.21,0.864,14.86,95.384,94.787,-10.379,-6.019,-5.346,-4.176,-2.159,-8.304,-7.582,-7.387,-5.359,-2.71,-0.105,-7.435,-0.418,-1.672,-4.146,-7.319,0,-10.351,25.256,-1.2,-90.023,-40.017
73692.973,297.208,0.864,14.861,95.384,94.627,-10.595,-5.796,-4.384,-3.967,-2.699,-6.539,-8.116,-7.922,-5.136,-3.231,0.211,-7.435,0.209,-2.194,-4.25,-6.643,0,-10.332,25.256,-1.203,-89.991,-40.017
73705.067,297.21,0.864,14.848,95.226,95.107,-11.135,-6.019,-4.705,-3.967,-2.591,-6.851,-7.475,-7.708,-5.358,-2.084,-0.738,-7.435,0.209,-1.985,-3.939,-6.643,0,-10.274,25.287,-1.205,-90.007,-40.006
73705.067,297.208,0.864,14.866,95.463,94.787,-9.514,-6.911,-4.918,-4.071,-2.375,-6.851,-7.582,-7.173,-5.358,-2.293,0.528,-8.285,0.314,-1.776,-4.976,-6.531,0,-10.236,25.307,-1.206,-89.974,-40.017
